Current_Word,Next_Word,Levenshtein_distance
days,Apple,5
Apple,Mac,5
ruled,personal,7
personal,technology,8
computing,world,8
world,Although,7
market,Mac,5
share,desktop,6
long,way,4
slow,decline,6
decline,said,6
said,Jonny,5
Every,years,4
years,market,5
market,Mac,5
share,desktop,6
kick,starts,6
starts,said,4
said,Jonny,5
Mr,Evans,5
Gammage,vicepresident,12
The,Macworld,8
release,tiny,7
Mac,mini,4
mini,gets,4
fit,TV,3
perfectly,trend,7
trend,"said
",5
"said
",Rivals,6
Rivals,£400,6
£400,"Apple

The",10
"Apple

The",Mac,10
Mac,mini,4
mini,gets,4
cheapest,Apple,7
Apple,Mac,5
computer,market,6
But,said,4
cheap,PC,5
Mac,mini,4
compare,PCs,7
PCs,Also,3
cost,small,5
amount?,Dotlife,7
Dotlife,tries,5
tries,find,4
find,role,4
money,stick,5
stick,beige,4
beige,"box





An",10
"box





An",extremely,10
extremely,small,7
small,share,3
computer,market,6
designed,bring,6
bring,Macintosh,7
Macintosh,"masses

Apple",12
"masses

Apple",offer,12
offer,powerful,6
powerful,Mac,8
Mac,mini,4
Mini,£339,4
£339,UK,4
£399,models,6
models,14ghz,6
14ghz,Power,5
Power,PC,4
PC,"users

The",10
chip,80,4
80,gigabyte,8
gigabyte,hard,7
hard,drive,5
drive,memory,6
combined,CD,8
CD,burner/DVD,9
burner/DVD,player,8
player,It,6
It,sale,4
comes,equipped,7
equipped,USB,8
USB,Firewire,8
Firewire,ports,7
ports,peripheral,8
peripheral,connections,11
connections,Ethernet,10
Ethernet,port,6
port,broadband,8
broadband,personal,8
port,broadband,8
standard,video,7
video,recorder,6
output,audio/headphone,13
audio/headphone,jackThe,13
jackThe,machine,4
machine,seen,6
comes,equipped,7
Mac,mini,4
OS,X,2
X,Apple,5
Apple,Mac,5
operating,system,8
system,software,6
software,suite,5
suite,iLife,3
iLife,includes,6
includes,iTunes,4
iTunes,iPhoto,5
iPhoto,iMovie,5
iMovie,iDVD,5
iDVD,"GarageBand

A",13
"GarageBand

A",monitor,12
monitor,They'd,7
keyboard,mouse,7
mouse,The,4
There,builtin,7
builtin,support,6
support,wireless,8
wireless,technology,9
technology,balked,9
speakers,The,7
The,Macworld,8
lack,DVD,4
DVD,burner,6
burner,omission,8
omission,age,8
age,backingup,7
backingup,important,9
important,software,7
software,suite,5
Wireless,dvd,8
dvd,burner,6
burner,omission,8
added,extra,5
extra,"cost

Apple",10
"cost

Apple",targeting,11
targeting,people,8
people,expect,5
main,computer,7
computer,market,6
want,upgrade,6
upgrade,cost,7
,majority,8
especially,PC,10
PC,"users

The",10
users,big,5
Apple,Mac,5
"iPod

Compact",stylish,13
stylish,Mac,7
Mac,mini,4
mini,gets,4
look,place,4
place,home,4
home,"computer

It's",11
Apple,Mac,5
computers,famously,7
famously,user,6
user,friendly,7
friendly,offer,7
offer,powerful,6
better,network,4
network,security,7
security,means,7
means,fewer,4
fewer,viruses,6
viruses,associated,9
The,Macworld,8
package,software,6
software,suite,5
comes,equipped,7
machine,seen,6
best,money,5
money,stick,5
"buy

The",Mac,8
Mac,mini,4
mini,gets,4
box,If,3
If,don't,5
don't,think,5
monitor,They'd,7
etc,adding,6
adding,package,6
package,software,6
sees,value,5
value,money,5
money,stick,5
begin,dwindle,6
dwindle,Macs,7
Macs,don't,5
don't,think,5
offer,powerful,6
upgrade,cost,7
flexibility,PC,11
PC,"users

The",10
machine's,specifications,11
specifications,lack,13
lack,DVD,4
horse,power,4
power,tasks,5
tasks,highend,7
highend,video,5
video,recorder,6
editing,"games

The",9
"games

The",Mac,9
Mac,mini,4
Mini,£339,4
puts,Macintosh,7
Macintosh,"masses

Apple",12
reach,Apple,5
Apple,Mac,5
spokesman,said,8
said,Jonny,5
It,sale,4
bring,Macintosh,7
customers,interested,9
platform,especially,9
especially,PC,10
PC,"users

The",10
users,big,5
"owners



An",entrylevel,10
entrylevel,machine,9
machine,seen,6
designed,bring,6
basic,duties,5
home,"computer

It's",11
"use

A",26ghz,6
26ghz,Intel,5
Intel,Celeron,6
Celeron,chip,7
chip,80,4
40,gigabyte,8
gigabyte,hard,7
hard,drive,5
drive,memory,6
256mb,combined,7
combined,CD,8
CD,burner/DVD,9
burner/DVD,player,8
player,It,6
It,sale,4
comes,equipped,7
equipped,USB,8
17,inch,4
inch,monitor,6
monitor,They'd,7
keyboard,mouse,7
mouse,The,4
The,Macworld,8
machine,seen,6
6,USB,3
USB,Firewire,8
ports,peripheral,8
Ethernet,port,6
port,broadband,8
broadband,personal,8
connection,There's,9
There's,port,6
port,broadband,8
standard,video,7
video,recorder,6
output,audio/headphone,13
The,Macworld,8
machine,seen,6
comes,equipped,7
Windows,XP,7
XP,home,4
home,"computer

It's",11
edition,It,6
It,sale,4
provides,basic,7
basic,duties,5
home,"computer

It's",11
tools,media,5
media,server,5
player,It,6
word,"processor

A",10
"processor

A",DVD,12
DVD,burner,6
burner,omission,8
wireless,technology,9
components,built,9
built,Wireless,7
Wireless,dvd,8
dvd,burner,6
burner,omission,8
added,extra,5
extra,"cost

Apple",10
"cost

Homes",small,10
small,share,3
offices,including,9
including,looking,6
looking,add,7
add,low,3
low,cost,3
cost,small,5
second,home,5
"computer

Cost",clear,12
clear,advantage,8
advantage,The,8
The,Macworld,8
Dell,provides,8
provides,basic,7
power,tasks,5
software,suite,5
basic,duties,5
gaming,internet,7
internet,surfing,7
surfing,It's,7
It's,deeply,6
easily,upgradeable,9
upgradeable,bigger,9
bigger,hard,6
hard,drive,5
drive,memory,6
better,network,4
sound,graphics,8
graphics,cards,6
cards,"added

The",9
"added

The",Dell,9
Dell,provides,8
hardly,stylish,7
stylish,Mac,7
hard,drive,5
drive,memory,6
small,share,3
size,huge,3
wanting,easytouse,7
store,struggled,6
photos,decent,6
decent,sized,5
sized,digital,6
digital,music,6
music,movies,4
"collection

This",machine,13
machine,seen,6
small,share,3
businesses,people,9
people,expect,5
want,upgrade,6
second,home,5
computer,market,6
basic,duties,5
home,"computer

It's",11
use,help,4
kids,bedroom,6
bedroom,spokesman,8
spokesman,said,8
Dell,provides,8
said,Jonny,5
I,think,5
think,fundamentally,12
offer,powerful,6
better,network,4
value,money,5
realise,extras,6
extras,larger,6
needed,Mac,6
Mac,mini,4
"Mini



A",desktop,9
desktop,computer,7
computer,market,6
PC,"users

The",10
Pro,Apple's,7
magazine,Mr,8
dubbed,best,5
best,money,5
performer,group,7
group,test,5
test,machines,7
machines,cost,7
cost,small,5
£399,models,6
£469,including,9
including,looking,6
"VAT

A",good,6
good,Apple,5
basic,duties,5
PC,"users

The",10
according,PC,9
PC,"users

The",10
Pro,Apple's,7
superb,upgrade,5
upgrade,cost,7
potential,For,8
For,browsing,7
money,stick,5
18GHz,AMD,5
AMD,Sempron,7
Sempron,processor,8
processor,512MB,9
512MB,Ram,5
Ram,120GB,5
120GB,hard,5
hard,drive,5
drive,memory,6
DVD,burner,6
writer,16inch,5
16inch,monitor,6
monitor,They'd,7
mouse,The,4
keyboard,mouse,7
Windows,XP,7
"XP2

Much",basics,8
basics,It,6
It,sale,4
handle,3D,6
3D,graphics,8
graphics,cards,6
Firewire,ports,7
"slots

Those",limited,11
limited,budget,6
budget,want,5
want,upgrade,6
machine,seen,6
add,low,3
improve,cash,7
cash,"allows

It's",11
"allows

It's",cheap,12
cheap,PC,5
plenty,room,6
room,improve,5
improve,cash,7
end,making,5
making,things,4
expensive,compared,9
long,way,4
run,It's,4
It's,deeply,6
good,Apple,5
basic,duties,5
"workhorse

It's",pretty,12
pretty,interchangeable,13
monitor,They'd,7
flatpanel,display,8
display,keyboard,7
Some,upgrades,7
upgrades,offered,7
offered,JAL,7
JAL,basic,5
basic,duties,5
model,pricey,5
pricey,You,6
You,find,4
find,role,4
want,upgrade,6
chop,change,4
change,"quickly

Nick",12
"quickly

Nick",Ross,13
Ross,deputy,6
deputy,labs,6
labs,editor,6
editor,Macworld,6
PC,"users

The",10
Pro,Apple's,7
said,Jonny,5
important,software,7
point,buying,4
buying,Interest,8
cheap,PC,5
cheerful,PC,8
PC,"users

The",10
upgrade,cost,7
path,Interest,7
Interest,new,6
switched,processor,9
processor,512MB,9
power,tasks,5
graphics,cards,6
sound,graphics,8
cards,"added

The",9
that's,makes,4
makes,difference,9
difference,games,9
games,Even,4
Even,manufacturers,12
manufacturers,going,13
going,absolutely,9
marketing,machines,6
machines,cost,7
faster,said,5
said,Jonny,5
they'll,emphasise,8
emphasise,different,9
different,"features



A",11
"features



A",computer,11
computer,market,6
built,Wireless,7
bits,buy,3
buy,"yourself

A",10
"yourself

A",surprisingly,11
surprisingly,good,12
good,Apple,5
PC,"users

The",10
sporting,AMD,8
AMD,Sempron,7
Athlon,XP,6
XP,home,4
2500,processor,9
processor,512MB,9
512,megabytes,9
megabytes,Ram,8
Ram,120GB,5
graphics,cards,6
card,128,4
128,Ram,3
Ram,120GB,5
board,plus,5
plus,TV,4
TV,screen,6
40,gigabyte,8
GB,hard,4
hard,drive,5
drive,memory,6
CDwriter,DVD,7
DVD,burner,6
player,It,6
Windows,XP,7
XP,home,4
"Home

Anything",You're,13
You're,building,8
building,buy,6
buy,"yourself

A",10
software,suite,5
want,upgrade,6
install,administer,7
troubleshooting,tech,12
tech,support,7
support,wireless,8
Building,machine,6
machine,seen,6
easier,need,5
need,second,4
read,specifications,12
specifications,lack,13
carefully,sure,7
sure,parts,4
parts,work,4
work,making,6
"together

Experienced",keen,18
keen,PC,4
PC,"users

The",10
users,big,5
Building,machine,6
PC,"users

The",10
upgrading,great,7
great,way,4
way,help,4
improve,cash,7
understanding,"works

It's",12
"works

It's",cheap,11
cheap,PC,5
specify,exactly,5
exactly,want,5
want,upgrade,6
thrill,putting,6
putting,And,6
And,bigger,6
bigger,hard,6
thrill,putting,6
works,"should

Once",11
"should

Once",it's,12
it's,good,4
built,Wireless,7
won't,able,5
able,start,5
start,buying,6
buying,Interest,8
software,suite,5
If,don't,5
starts,said,4
wrong,lot,4
lot,fixing,6
fixing,As,6
As,Gavin,5
Gavin,Cox,5
Cox,excellent,9
excellent,buildyourownorguk,16
buildyourownorguk,website,16
website,It,6
It,sale,4
tough,obtain/build,10
obtain/build,PC,12
PC,"users

The",10
compact,charming,7
charming,Mac,7
Mac,mini,4
"mini

Performancewise",it's,19
it's,good,4
'cutting,edge',8
edge',barely,5
barely,entrylevel,8
entrylevel,machine,9
today's,market,7
market,Mac,5
Mac,mini,4
mini,gets,4
I,think,5
believe,hold,6
hold,pull,3
pull,tricks,6
tricks,says,5
says,Gavin,4
Gavin,Cox,5
Cox,excellent,9
The,Macworld,8
good,Apple,5
news,editor,6
machine,seen,6
eminently,expandable,7
expandable,By,10
By,contrast,8
contrast,says,7
says,Gavin,4
Mr,Evans,5
Cox,excellent,9
Mac,mini,4
mini,gets,4
"disposable
",Speak,9
Speak,easy,4
easy,use,3
plan,media,5
media,server,5
"players

Music",film,14
film,fans,3
fans,industry,7
able,start,5
control,digital,6
digital,music,6
media,server,5
players,speaking,6
speaking,plans,5
plans,development,9
development,US,11
US,Adding,6
"firms

ScanSoft",Gracenote,11
Gracenote,developing,9
developing,technology,8
technology,balked,9
people,expect,5
access,film,6
film,fans,3
music,movies,4
libraries,simply,8
simply,voice,6
voice,control,6
control,digital,6
They,speculate,8
want,upgrade,6
people,expect,5
handsfree,access,8
access,film,6
digital,music,6
music,movies,4
films,car,5
car,home,4
home,"computer

It's",11
Huge,media,5
media,server,5
libraries,simply,8
players,speaking,6
finding,single,5
single,songs,3
songs,hard,5
hard,drive,5
Voice,commandandcontrol,15
commandandcontrol,unlocks,15
unlocks,potential,9
potential,For,8
devices,"reaction

His",10
store,struggled,6
large,digital,7
digital,music,6
music,movies,4
collections,said,10
said,Jonny,5
Ross,deputy,6
Blanchard,vice,8
vice,president,7
president,business,6
business,development,10
development,US,11
Gracenote,developing,9
These,applications,12
applications,radically,9
radically,change,8
change,"quickly

Nick",12
car,home,4
entertainment,experience,8
experience,allowing,8
allowing,drivers,8
drivers,enjoy,7
enjoy,entire,4
entire,music,5
music,movies,4
collections,said,10
taking,hands,5
hands,steering,8
steering,wheel,6
wheel,"added

Gracenote",14
"added

Gracenote",provides,15
provides,basic,7
music,movies,4
library,information,9
information,millions,9
millions,different,7
different,"features



A",11
albums,jukeboxes,7
jukeboxes,Apple's,8
Apple's,store,6
iTunes,iPhoto,5
The,Macworld,8
new,products,8
technology,balked,9
designed,bring,6
people,expect,5
play,individual,9
individual,song,10
song,movie,4
movie,collection,8
collection,saying,9
saying,Users,6
Users,able,5
able,start,5
request,music,6
music,movies,4
fits,mood,4
mood,occasion,7
occasion,film,7
film,fans,3
saying,Users,6
actor's,Speech,7
Speech,natural,7
natural,step,6
fit,TV,3
today's,market,7
consumer,devices,7
devices,"reaction

His",10
particularly,good,12
mobile,environments,10
environments,said,11
said,Jonny,5
Alan,Schwartz,7
Schwartz,vice,8
vice,president,7
president,business,6
SpeechWorks,division,10
division,ScanSoft,8
ScanSoft,Pairing,7
Pairing,voice,6
voice,control,6
technologies,Gracenote's,9
Gracenote's,vast,9
vast,music,4
music,movies,4
database,bring,8
bring,Macintosh,7
benefits,speech,7
speech,suffered,6
technologies,Gracenote's,9
host,consumer,6
consumer,devices,7
devices,"reaction

His",10
enable,people,4
people,expect,5
access,film,6
media,server,5
ways,they've,6
they've,imagined,7
imagined,The,7
The,Macworld,8
firms,developing,10
developing,technology,8
technology,balked,9
languages,English,7
English,Users,6
Users,able,5
able,start,5
information,millions,9
favourite,song,8
song,movie,4
listening,asking,5
asking,What,6
What,this?,4
this?,Portable,7
Portable,players,8
players,speaking,6
popular,Apple,5
cars,number,6
number,auto,5
auto,firms,5
firms,developing,10
working,Apple,7
Apple,Mac,5
device,interfaces,7
interfaces,control,8
control,digital,6
firm's,iPod,5
iPod,owners,6
music,movies,4
player,It,6
But,said,4
tens,thousands,6
thousands,songs,6
songs,hard,5
able,start,5
stored,player,5
player,It,6
voice,control,6
control,digital,6
finding,single,5
elusive,track,7
track,Elvis,5
Elvis,Presley,7
Presley,easier,5
easier,need,5
The,Macworld,8
firms,developing,10
gave,indication,9
indication,iPod,8
iPod,owners,6
media,server,5
player,It,6
mind,use,4
use,help,4
voice,control,6
control,digital,6
technology,balked,9
The,Macworld,8
companies,estimate,8
estimate,technology,9
technology,balked,9
available,fourth,9
fourth,quarter,5
quarter,"2005
",7
"2005
",US,5
US,Adding,6
peertopeer,pirates,7
pirates,"convicted

The",12
"convicted

The",convictions,7
convictions,piracy,10
piracy,peertopeer,8
peertopeer,pirates,7
networks,handed,8
handed,"US

New",6
"US

New",Yorker,6
Yorker,William,7
William,Trowbridge,9
Trowbridge,Texan,9
Texan,Michael,6
Michael,Chicoine,6
Chicoine,pleaded,8
pleaded,guilty,7
guilty,charges,7
charges,infringed,6
infringed,copyright,7
copyright,illegally,9
illegally,sharing,9
sharing,music,6
music,movies,4
movies,images,4
software,suite,5
The,Macworld,8
men,faced,4
faced,charges,5
charges,infringed,6
following,raids,8
raids,August,5
August,suspected,7
suspected,pirates,7
pirates,"convicted

The",12
FBI,The,3
The,Macworld,8
pair,Mac,3
face,jail,3
jail,terms,5
terms,years,3
years,market,5
$250000,£130000,3
£130000,"fine

In",8
"fine

In",statement,8
statement,US,9
US,Adding,6
Department,Justice,9
Justice,said,5
said,Jonny,5
men,faced,4
operated,central,7
central,hubs,7
hubs,piracy,6
piracy,peertopeer,8
community,organised,7
organised,Direct,8
Direct,Connect,4
Connect,peertopeer,9
peertopeer,pirates,7
network,security,7
The,Macworld,8
piracy,peertopeer,8
group,test,5
called,Underground,10
Underground,Network,9
Network,membership,8
membership,demanded,8
demanded,users,8
users,big,5
share,desktop,6
100,gigabytes,9
gigabytes,files,6
files,Direct,4
Direct,Connect,4
Connect,peertopeer,9
allows,users,5
users,big,5
set,central,5
central,hubs,7
servers,act,7
act,coordinating,11
coordinating,spots,10
spots,sharers,5
sharers,Users,4
Users,able,5
swap,files,5
files,Direct,4
films,car,5
music,movies,4
exchanging,data,9
data,network,6
network,security,7
During,investigation,12
investigation,FBI,13
FBI,The,3
agents,reportedly,9
reportedly,downloaded,9
downloaded,84,10
84,movies,6
movies,images,4
40,gigabyte,8
software,suite,5
programs,13,8
13,games,5
games,Even,4
178,sound,5
sound,graphics,8
recordings,hubs,9
hubs,piracy,6
larger,hard,4
piracy,peertopeer,8
group,test,5
The,Macworld,8
raids,August,5
organised,Direct,8
umbrella,Operation,8
Operation,Digital,8
Digital,Gridlock,7
Gridlock,aimed,7
aimed,said,3
fighting,criminal,7
criminal,copyright,7
copyright,illegally,9
theft,peertopeer,8
peertopeer,pirates,7
networks,handed,8
In,total,5
total,raids,5
raids,August,5
carried,August,7
August,suspected,7
Five,homes,4
homes,need,4
suspected,pirates,7
copyright,illegally,9
thieves,net,6
net,service,6
service,firm,6
firm,The,4
The,Macworld,8
Department,Justice,9
Justice,said,5
said,Jonny,5
men,faced,4
pleaded,guilty,7
guilty,charges,7
count,conspiracy,8
conspiracy,commit,7
commit,felony,6
felony,copyright,9
copyright,illegally,9
infringement,They,11
They,speculate,8
pleaded,guilty,7
guilty,charges,7
acting,commercial,9
commercial,advantage,10
advantage,The,8
The,Macworld,8
men,faced,4
sentenced,29,9
29,"April
",6
"April
",Format,5
Format,wars,5
wars,'confuse,7
'confuse,"users'

Technology",15
"users'

Technology",firms,17
firms,developing,10
Sony,Philips,7
Philips,Matsushita,9
Matsushita,Samsung,7
Samsung,developing,8
developing,technology,8
common,way,6
way,help,4
stop,people,4
people,expect,5
pirating,digital,6
digital,music,6
music,movies,4
"video

The",firms,9
firms,developing,10
want,upgrade,6
system,software,6
ensures,files,5
files,Direct,4
play,individual,9
hardware,It's,8
thwarts,illegal,7
illegal,copying,7
copying,The,7
The,Macworld,8
mean,confusion,8
confusion,consumers,5
consumers,They,8
faced,charges,5
different,"features



A",11
conflicting,content,6
content,control,3
control,digital,6
systems,experts,6
experts,PC,7
warned,They,5
They,speculate,8
guarantees,system,8
system,software,6
prevent,"piracy

Currently",12
"piracy

Currently",online,16
online,stores,6
stores,wrap,5
wrap,downloadable,10
downloadable,files,11
files,Direct,4
ownbrand,control,6
control,digital,6
system,software,6
means,fewer,4
played,small,5
small,share,3
number,auto,5
media,server,5
players,speaking,6
Systems,limit,7
limit,people,6
people,expect,5
files,Direct,4
download,known,6
known,Digital,7
Digital,Gridlock,7
Rights,Management,9
Management,systems,8
systems,experts,6
By,contrast,8
setting,alliance,7
alliance,work,8
work,making,6
common,way,6
control,digital,6
system,software,6
firms,developing,10
said,Jonny,5
hope,end,4
end,making,5
current,fragmentation,10
fragmentation,file,11
file,formats,6
formats,In,7
In,total,5
joint,statement,7
statement,US,9
firms,developing,10
said,Jonny,5
wanted,let,5
let,consumers,8
consumers,They,8
enjoy,entire,4
appropriately,licensed,12
licensed,video,6
video,recorder,6
music,movies,4
device,interfaces,7
independent,originally,10
originally,obtained,7
obtained,content,6
content,control,3
The,Macworld,8
firms,developing,10
hope,end,4
harder,consumers,7
consumers,They,8
illegal,copying,7
copies,music,5
music,movies,4
movies,images,4
digital,music,6
content,control,3
bought,iPod,6
Called,Marlin,4
Marlin,Joint,5
Joint,Development,8
Development,Association,11
Association,alliance,9
alliance,work,8
define,basic,5
basic,duties,5
specifications,lack,13
device,interfaces,7
electronics,firms,9
firms,developing,10
conform,Marlin,7
Marlin,Joint,5
built,Wireless,7
technology,balked,9
rights,management,9
management,firm,9
firm,The,4
Intertrust,earlier,9
earlier,DRM,7
DRM,system,6
system,software,6
developed,group,8
group,test,5
known,Digital,7
Coral,"Consortium

The",12
"Consortium

The",widely,14
widely,seen,5
seen,good,4
way,help,4
firms,developing,10
decide,destiny,4
destiny,content,5
content,control,3
control,digital,6
systems,experts,6
instead,having,7
having,sign,5
sign,pushed,5
pushed,Apple,5
Apple,Mac,5
Microsoft,Confusingly,10
Confusingly,consumers,8
consumers,They,8
technology,balked,9
comes,equipped,7
alliance,work,8
sit,alongside,7
alongside,content,7
content,control,3
control,digital,6
systems,experts,6
rival,firms,4
firms,developing,10
Microsoft,Confusingly,10
Apple,Mac,5
In,total,5
ways,they've,6
different,"features



A",11
DRM,system,6
systems,experts,6
akin,different,8
different,"features



A",11
physical,formats,8
formats,In,7
Betamax,VHS,7
VHS,consumers,9
consumers,They,8
seen,good,4
past,said,3
said,Jonny,5
Ian,Fogg,4
