Current_Word,Next_Word,Levenshtein_distance
safer,environment,10
environment,young,9
young,people,5
people,China,6
China,net,5
Rules,introduced,8
introduced,2002,10
2002,demand,6
demand,net,5
net,cafe,4
cafes,closing,6
200,metres,6
metres,away,6
away,middle,6
middle,road,5
elementary,schools,10
schools,The,6
The,US,3
hours,week,5
children,use,7
use,ink,3
net,cafe,4
cafes,closing,6
tightly,regulated,7
regulated,China,8
China,net,5
long,worried,6
worried,net,6
net,cafe,4
cafes,closing,6
unhealthy,influence,8
influence,young,7
young,people,5
people,China,6
The,US,3
12575,net,5
cafes,closing,6
shut,months,5
months,2004,6
October,December,4
December,China,8
China,net,5
tries,dictate,6
dictate,types,6
types,computer,6
computer,games,6
games,people,6
people,China,6
play,limit,5
limit,close,5
violence,people,6
people,China,6
exposed,"to

Net",6
"to

Net",cafes,6
cafes,closing,6
hugely,popular,6
popular,China,6
China,net,5
relatively,high,9
high,point,4
cost,computer,5
computer,games,6
hardware,means,7
means,people,5
people,China,6
PCs,homes,4
homes,This,4
This,type,4
time,Chinese,5
Chinese,net,5
government,agreed,8
moved,net,4
net,cafe,4
cafes,closing,6
operating,illegally,8
strict,guidelines,9
guidelines,recently,9
All,100000,6
100000,net,6
net,cafe,4
cafes,closing,6
country,required,7
required,use,6
use,ink,3
software,controls,6
controls,websites,7
websites,users,6
users,Logs,4
Logs,sites,4
sites,people,6
people,China,6
visit,kept,4
kept,Laws,4
Laws,net,4
net,cafe,4
cafe,culture,5
opening,hours,7
hours,week,5
use,ink,3
introduced,2002,10
2002,demand,6
following,fire,7
fire,cafe,3
cafe,culture,5
killed,25,6
25,people,6
people,China,6
During,crackdown,9
crackdown,carried,7
following,fire,7
blaze,authorities,10
authorities,closed,9
moved,net,4
clean,net,4
net,cafe,4
cafes,closing,6
demanded,permits,7
permits,operate,4
operate,set,5
In,effort,6
August,2004,6
2004,country's,9
Chinese,net,5
authorities,closed,9
shut,months,5
700,websites,8
websites,users,6
arrested,224,8
224,people,6
people,China,6
crackdown,carried,7
net,cafe,4
porn,At,4
At,entrance,7
time,Chinese,5
introduced,2002,10
new,technology,9
controls,websites,7
block,overseas,8
overseas,sex,6
sex,sites,3
sites,people,6
The,US,3
Reporters,Without,8
Without,Borders,7
Borders,group,6
group,said,5
said,crackdown,7
report,Chinese,7
Chinese,net,5
government,agreed,8
technologies,email,10
email,interception,10
interception,net,9
net,cafe,4
censorship,highly,9
highly,developed,8
developed,"world
",8
"world
",Microsoft,8
Microsoft,seeking,9
seeking,spyware,6
spyware,"trojan

Microsoft",15
"trojan

Microsoft",investigating,16
investigating,trojan,11
trojan,program,4
program,attempts,8
attempts,switch,8
switch,firm's,6
firm's,antispyware,10
antispyware,"software

The",11
"software

The",spyware,8
spyware,"trojan

Microsoft",15
tool,released,8
released,Microsoft,8
Microsoft,seeking,9
weeks,downloaded,9
downloaded,million,9
million,people,7
people,China,6
Stephen,Toulouse,8
Toulouse,security,8
security,manager,8
manager,Microsoft,9
Microsoft,seeking,9
said,crackdown,7
malicious,program,9
program,attempts,8
called,BankashA,7
BankashA,Trojan,7
Trojan,sent,6
sent,email,5
email,interception,10
attachment,Microsoft,9
Microsoft,seeking,9
said,crackdown,7
believe,program,7
program,attempts,8
widespread,recommended,10
recommended,users,10
users,Logs,4
use,ink,3
antivirus,program,8
program,attempts,8
The,US,3
program,attempts,8
attempts,switch,8
disable,delete,5
delete,Microsoft's,10
Microsoft's,antispyware,11
antispyware,"software

The",11
tool,released,8
suppress,warning,8
warning,messages,8
messages,given,7
given,"users

It",9
"users

It",try,8
try,steal,4
steal,online,6
online,banking,4
banking,passwords,8
passwords,personal,6
personal,information,10
information,tracking,9
tracking,users',8
users',"keystrokes

Microsoft",17
"keystrokes

Microsoft",said,19
said,crackdown,7
statement,investigating,10
investigating,trojan,11
called,BankashA,7
criminal,attack,8
attack,software,6
software,controls,6
Earlier,week,6
week,The,3
Microsoft,seeking,9
said,crackdown,7
buy,antivirus,8
antivirus,program,8
software,controls,6
maker,Sybari,5
Sybari,Software,5
Software,improve,7
improve,security,7
security,manager,8
Windows,email,7
email,interception,10
software,controls,6
Microsoft,seeking,9
said,crackdown,7
plans,offer,5
offer,paidfor,5
paidfor,antivirus,8
antivirus,program,8
software,controls,6
set,strict,4
date,release,5
release,The,6
The,US,3
antispyware,"software

The",11
program,attempts,8
targeted,currently,6
currently,beta,7
beta,form,4
form,aims,4
aims,help,4
help,users,4
users,Logs,4
find,remove,6
remove,ink,6
spyware,"trojan

Microsoft",15
,German,6
programs,monitor,7
monitor,internet,7
internet,use,7
use,ink,3
causes,ink,6
advert,popups,6
popups,slow,6
slow,PC's,4
PC's,"performance
",12
"performance
",Digital,11
Digital,guru,6
guru,floats,6
floats,sub$100,7
sub$100,"PC

Nicholas",12
"PC

Nicholas",Negroponte,11
Negroponte,chairman,9
chairman,founder,8
founder,MIT's,7
MIT's,Media,4
Media,Labs,5
Labs,says,2
says,developing,10
developing,laptop,8
laptop,PC,6
PC,sale,4
sale,$100,4
$100,"£53

He",7
"£53

He",told,7
told,BBC,4
BBC,World,5
World,Service,6
Service,programme,7
programme,Go,8
Go,Digital,7
Digital,guru,6
hoped,education,9
education,tool,7
tool,released,8
developing,laptop,8
countries,varied,6
He,said,4
said,crackdown,7
laptop,PC,6
child,,5
,German,6
important,step,8
development,child,10
child,,5
family,village,7
village,neighbourhood,12
neighbourhood,He,12
He,said,4
said,crackdown,7
child,,5
use,ink,3
laptop,PC,6
like,text,4
text,book,4
book,He,4
He,said,4
described,device,5
device,stripped,6
stripped,laptop,7
laptop,PC,6
run,Linuxbased,9
Linuxbased,operating,10
operating,illegally,8
system,We,5
We,display,7
display,$20,7
$20,need,4
need,rear,3
rear,project,5
project,image,6
image,ordinary,6
ordinary,flat,7
flat,"panel

The",9
"panel

The",second,9
second,trick,6
trick,rid,3
rid,fat,3
fat,,3
,German,6
skinny,gain,4
gain,speed,5
speed,ability,7
ability,use,7
use,ink,3
smaller,processors,9
processors,slower,7
slower,memory,6
memory,The,6
The,US,3
device,stripped,6
probably,exported,8
exported,kit,7
kit,parts,4
parts,assembled,9
assembled,locally,8
locally,costs,6
costs,Mr,5
Mr,Negroponte,9
Negroponte,chairman,9
said,crackdown,7
profit,venture,7
venture,recognised,8
recognised,manufacturers,12
manufacturers,components,12
components,making,8
making,money,5
money,causes,5
In,effort,6
1995,Mr,4
Mr,Negroponte,9
Negroponte,chairman,9
published,bestselling,11
bestselling,Being,7
Being,Digital,6
Digital,guru,6
widely,watched,6
seen,experts,6
predicting,digital,8
digital,age,6
age,The,2
The,US,3
concept,based,6
based,experiments,10
experiments,US,11
US,government,10
state,Soviet,5
Maine,children,6
children,use,7
given,"users

It",9
laptop,PC,6
computers,home,6
home,work,3
work,"on

While",9
"on

While",idea,8
idea,popular,6
popular,China,6
children,use,7
initially,received,8
received,resistance,8
resistance,teachers,9
teachers,problems,6
problems,Others,6
laptops,getting,6
getting,cuticle,6
broken,However,6
However,reality,7
Mr,Negroponte,9
Negroponte,chairman,9
adapted,idea,5
idea,popular,6
work,"on

While",9
Cambodia,set,8
set,strict,4
schools,The,6
wife,gave,3
gave,children,7
children,use,7
laptops,getting,6
We,display,7
25,people,6
laptops,getting,6
years,ago,4
ago,,3
,German,6
broken,However,6
kids,cherish,6
cherish,things,5
things,it's,4
it's,TV,4
TV,telephone,9
telephone,games,8
games,people,6
machine,textbook,8
textbook,Mr,8
Mr,Negroponte,9
Negroponte,chairman,9
wants,laptops,4
laptops,getting,6
common,metaphor,7
mobile,phones,6
phones,conceded,6
conceded,ambitious,9
ambitious,Nokia,8
Nokia,200,5
200,metres,6
million,people,7
cell,phones,6
phones,conceded,6
year,claim,4
claim,we're,5
we're,going,5
going,200,5
200,metres,6
million,people,7
laptops,getting,6
big,number,5
number,we're,5
we're,going,5
talking,years,7
years,ago,4
we're,going,5
talking,years,7
months,2004,6
He,said,4
plans,offer,5
distributing,end,11
end,2006,4
2006,discussion,10
discussion,Chinese,9
Chinese,net,5
education,tool,7
ministry,expected,7
expected,large,7
large,factors,6
order,In,5
In,effort,6
China,net,5
spend,$17,5
$17,child,5
child,,5
year,claim,4
textbooks,That's,7
That's,years,4
years,ago,4
distribute,sell,9
sell,laptops,7
laptops,getting,6
quantities,million,9
million,people,7
ministries,education,8
education,tool,7
that's,cheaper,5
cheaper,marketing,8
marketing,overheads,8
overheads,"away
",8
"away
",Technology,10
Technology,gets,9
gets,creative,6
creative,"bug

The",7
"bug

The",hitech,7
hitech,arts,5
arts,worlds,4
worlds,time,6
time,Chinese,5
danced,offered,5
offered,creative,8
creative,"bug

The",7
technical,help,8
help,users,4
"required

Often",help,14
help,users,4
come,form,3
form,aims,4
corporate,art,7
art,sponsorship,10
sponsorship,infrastructure,12
infrastructure,provision,13
provision,But,9
But,dance,5
dance,growing,7
growing,intimate,8
intimate,hitech,7
hitech,arts,5
firms,look,5
look,creative,8
creative,"bug

The",7
industries,inspiration,8
inspiration,And,10
And,vice,4
vice,versa,4
versa,UK,5
UK,telco,5
telco,BT,5
BT,idea,4
idea,popular,6
launched,Connected,5
Connected,World,7
World,Service,6
initiative,The,9
The,US,3
idea,popular,6
says,developing,10
BT,idea,4
shape,21st,5
21st,Century,6
Century,model,7
model,help,4
help,users,4
cement,art,5
art,sponsorship,10
technology,causing,8
business,worlds,7
worlds,time,6
We,display,7
hoping,understand,9
understand,creative,8
creative,"bug

The",7
industry,natural,7
natural,thirst,6
thirst,broadband,9
broadband,technology,10
technology,causing,8
said,crackdown,7
Frank,Stone,4
Stone,head,5
head,BT's,4
BT's,business,7
business,worlds,7
sector,programmes,10
programmes,He,9
He,said,4
looks,centres,6
centres,excellence,8
excellence,telco,7
telco,BT,5
set,strict,4
institutions,organisations,7
organisations,focused,12
focused,creative,8
creative,"bug

The",7
"industries

To",mark,13
mark,initiative's,11
initiative's,launch,11
launch,major,5
major,international,11
international,nonprofit,10
art,sponsorship,10
installation,open,11
open,elections,7
15,April,5
April,Brussels,7
Brussels,exhibit,8
exhibit,Madrid,6
Madrid,later,5
later,summer,4
summer,They,5
They,created,6
created,telco's,7
telco's,technology,7
technology,causing,8
incubating,research,9
research,development,9
development,child,10
arm,including,9
including,sophisticated,12
sophisticated,graphics,10
graphics,rendering,8
rendering,program,8
program,attempts,8
Using,3D,5
3D,graphics,8
graphics,rendering,8
engine,type,5
type,ink,4
commonly,gaming,6
gaming,Baftawinning,8
Baftawinning,artists,9
artists,Langlands,7
Langlands,&,9
&,Bell,4
Bell,created,6
created,telco's,7
virtual,storybased,8
storybased,3D,10
3D,graphics,8
model,help,4
Brussels',Coudenberg,9
Coudenberg,"Cellars

They",12
"Cellars

They",recently,11
recently,closed,7
excavated,thought,8
thought,remnants,7
remnants,Coudenberg,9
Coudenberg,"Cellars

They",12
Palace,historical,9
historical,seat,8
seat,European,6
European,power,6
power,The,4
The,US,3
3D,graphics,8
world,countries,7
navigated,joystick,9
joystick,offers,7
offers,immersive,6
immersive,experience,7
experience,landscape,9
landscape,historically,10
historically,river,10
river,running,6
running,bricked,7
bricked,19th,7
19th,Century,6
Century,model,7
The,US,3
river,running,6
integral,city's,7
city's,survival,8
survival,hundreds,7
hundreds,years,6
years,ago,4
equally,essential,8
essential,city,8
city,disappeared,10
disappeared,said,8
said,crackdown,7
artists,Langlands,7
We,display,7
hope,uncovering,8
uncovering,river,7
river,running,6
greater,significance,10
understand,creative,8
connections,past,10
past,present,4
present,appreciate,6
appreciate,flow,10
flow,modernity,9
modernity,concealing,7
concealing,revealing,4
revealing,River,7
River,Senne,5
Senne,In,4
In,effort,6
previous,works,7
works,IFES,5
Quake,game,3
game,graphics,6
graphics,rendering,8
engine,type,5
The,US,3
game,graphics,6
engine,type,5
core,component,6
component,video,8
video,game,4
game,graphics,6
handles,graphics,6
graphics,rendering,8
rendering,program,8
game,graphics,6
AI,objects,7
objects,behave,6
behave,relate,3
relate,game,4
game,graphics,6
They,created,6
timeconsuming,expensive,9
expensive,create,7
create,safer,5
engines,licensed,6
licensed,handle,7
handle,graphicsintensive,14
graphicsintensive,games,13
games,people,6
BT's,business,7
engine,type,5
Tara,Total,3
Total,Abstract,6
Abstract,Rendering,8
Rendering,Architecture,11
Architecture,development,12
development,child,10
2001,recreate,8
recreate,virtual,7
virtual,storybased,8
interactive,models,10
models,buildings,7
buildings,planners,7
planners,It,8
It,dries,5
2003,reducing,8
Encounter,urbanbased,9
urbanbased,pervasive,8
pervasive,game,7
game,graphics,6
combined,virtual,8
virtual,storybased,8
play,limit,5
conjunction,physical,10
physical,onthestreet,9
onthestreet,action,10
action,Because,6
Because,artists,7
artists,Langlands,7
wanted,video,5
video,game,4
interactive,models,10
elements,worlds,7
worlds,time,6
new,technology,9
features,added,6
added,Tara,5
Tara,Total,3
order,In,5
handle,graphicsintensive,14
complex,data,7
data,sets,3
sets,But,3
But,dance,5
collaboration,art,10
art,sponsorship,10
digital,age,6
technology,causing,8
means,people,5
new,technology,9
keen,coders,5
coders,designers,6
designers,games,7
games,people,6
makers,animators,5
animators,argue,8
argue,create,4
create,safer,5
art,sponsorship,10
"itself

As",tools,7
tools,selfexpression,13
selfexpression,given,12
given,"users

It",9
person,street,5
street,enabling,8
enabling,people,7
people,China,6
photos,phone,3
phone,upload,4
upload,web,6
web,instance,8
instance,creativity,9
creativity,integral,9
integral,city's,7
technology,causing,8
The,US,3
Orange,Expressionist,11
Expressionist,exhibition,9
exhibition,year,10
year,claim,4
example,Christian,9
displayed,thousands,8
thousands,picture,9
picture,messages,7
messages,given,7
people,China,6
UK,telco,5
create,safer,5
interactive,models,10
"installation

Technology",way,22
way,unleashing,9
unleashing,creativity,8
creativity,integral,9
massive,potential,8
potential,gives,8
gives,people,6
people,China,6
technology,causing,8
Big,businesses,9
businesses,know,9
know,good,3
good,creative,8
creative,"bug

The",7
vein,The,4
The,US,3
art,sponsorship,10
world,countries,7
fantastically,rich,11
rich,said,4
said,crackdown,7
Mr,Negroponte,9
Stone,head,5
creative,"bug

The",7
people,China,6
ideas,means,3
means,people,5
traditional,companies,10
companies,like,8
like,text,4
BT,idea,4
want,Between,6
Between,1997,7
1997,2002,4
2002,demand,6
creative,"bug

The",7
industry,natural,7
brought,£21,7
£21,billion,7
billion,London,5
London,It,6
It,dries,5
industry,natural,7
growing,intimate,8
6%,year,4
year,claim,4
The,US,3
partnership,artists,7
artists,Langlands,7
technologists,trying,10
trying,understand,8
understand,creative,8
creative,"bug

The",7
potential,gives,8
technologies,email,10
like,text,4
broadband,technology,10
net,cafe,4
according,Mr,8
Mr,Negroponte,9
Stone,head,5
This,type,4
putting,art,6
art,sponsorship,10
galleries,museums,7
museums,online,7
online,banking,4
said,crackdown,7
It,dries,5
best,seat,2
seat,European,6
house,asking,6
asking,technology,8
technology,causing,8
role,solving,5
solving,problem,7
problem,With,7
With,broadband,9
broadband,technology,10
penetration,reaching,9
reaching,100%,8
100%,UK,4
UK,telco,5
businesses,know,9
stake,technology,10
technology,causing,8
want,Between,6
people,China,6
reasons,want,5
want,Between,6
use,ink,3
The,US,3
creative,"bug

The",7
drive,democracy,7
purely,altruistic,9
altruistic,obviously,9
obviously,It,9
It,dries,5
industries,inspiration,8
borrowing,strategies,8
strategies,creative,7
creative,"bug

The",7
ideas,means,3
result,better,5
better,business,6
business,worlds,7
practices,creative,5
creative,"bug

The",7
industries,inspiration,8
patent,ideas,5
ideas,means,3
tech,companies,9
companies,like,8
What,trying,6
trying,understand,8
outsidein,thinking,6
thinking,We,8
We,display,7
creating,future,7
future,cultural,4
cultural,drive,8
drive,democracy,7
economy,said,7
said,crackdown,7
Mr,Negroponte,9
"Stone
",Wifi,6
Wifi,web,4
web,instance,8
reaches,farmers,5
farmers,"Peru

A",6
"Peru

A",network,6
network,community,9
community,computer,5
computer,games,6
centres,excellence,8
linked,wireless,6
wireless,technology,9
technology,causing,8
providing,helping,6
helping,hand,5
hand,poor,4
poor,farmers,6
farmers,"Peru

A",6
"Peru

The",pilot,9
pilot,scheme,6
scheme,Huaral,6
Huaral,Valley,6
Valley,80,6
80,kilometres,10
kilometres,north,8
north,capital,6
capital,Lima,5
Lima,aims,2
aims,help,4
offer,paidfor,5
6000strong,community,10
community,computer,5
uptodate,information,8
information,tracking,9
agricultural,"society

The",11
market,prices,5
prices,trends,4
trends,The,5
The,US,3
Agricultural,Information,11
Information,Project,9
Project,Farmers,6
Farmers,ChancayHuaral,11
ChancayHuaral,Valley,11
Valley,80,6
provides,vital,6
vital,links,4
links,local,4
local,organisations,12
organisations,focused,12
charge,water,5
water,irrigation,8
irrigation,enabling,9
enabling,people,7
coordinate,actions,9
actions,More,6
More,13000,5
13000,rural,5
rural,practice,7
inhabitants,18000,11
18000,students,8
students,region,7
region,benefit,6
benefit,telecoms,6
telecoms,"infrastructure

The",17
"infrastructure

The",14,19
14,telecentres,11
telecentres,uses,9
uses,free,3
free,fair,3
open,elections,7
source,software,5
software,controls,6
affordable,computer,9
computer,games,6
equipment,The,8
The,US,3
network,community,9
years,ago,4
making,money,5
officially,inaugurated,10
inaugurated,"September

The",13
"September

The",nongovernment,12
nongovernment,organisation,11
organisation,supports,11
Cepes,Peruvian,7
Peruvian,Centre,7
Centre,Social,6
Social,Studies,5
Studies,led,6
led,$200000,7
$200000,project,7
project,image,6
backed,local,5
local,organisations,12
institutions,organisations,7
Education,Agriculture,9
Agriculture,ministries,9
ministries,education,8
European,power,6
development,child,10
organisations,focused,12
The,US,3
plan,includes,7
includes,training,8
training,computers,9
computers,home,6
internet,use,7
skills,operators,8
operators,users,6
users,Logs,4
system,We,5
said,crackdown,7
Carlos,Saldarriaga,9
Saldarriaga,technical,10
technical,help,8
coordinator,Cepes,11
Cepes,Peruvian,7
Farmers,ChancayHuaral,11
taking,extra,6
extra,lessons,6
lessons,apply,7
apply,new,5
new,technology,9
information,tracking,9
plots,land,4
land,The,4
The,US,3
Board,Irrigation,9
Irrigation,Users,10
Users,runs,4
runs,computer,7
computer,games,6
centres,excellence,8
aims,help,4
network,community,9
selfsustainable,years,13
years,ago,4
cash,generated,8
generated,telecentres,7
telecentres,uses,9
internet,use,7
"cafes

One",key,9
key,elements,7
elements,worlds,7
project,image,6
Agricultural,Information,11
Information,Project,9
System,flagship,7
flagship,huaralorg,8
huaralorg,website,9
website,There,6
There,farmers,5
farmers,"Peru

A",6
find,remove,6
prices,trends,4
local,organisations,12
produce,information,10
information,tracking,9
topics,ranging,6
ranging,plague,6
plague,prevention,9
prevention,latest,8
latest,series,5
farming,techniques,9
techniques,The,8
The,US,3
system,We,5
helps,drive,5
inhabitants,18000,11
ChancayHuaral,Valley,11
Valley,80,6
organise,vital,7
vital,links,4
irrigation,enabling,9
systems,Water,5
Water,main,4
main,element,6
element,unites,6
unites,It,5
It,dries,5
precious,element,7
element,unites,6
Peru's,coastal,7
coastal,areas,5
areas,scarce,5
scarce,necessary,7
necessary,proper,8
proper,irrigation,9
irrigation,enabling,9
systems,Water,5
Mr,Negroponte,9
Saldarriaga,technical,10
told,BBC,4
BBC,World,5
News,Agency,5
website,There,6
The,US,3
information,tracking,9
network,community,9
allows,farmers,5
farmers,"Peru

A",6
look,creative,8
region,benefit,6
share,experiences,9
experiences,colleagues,9
colleagues,rest,9
rest,Peru,3
Peru,"world

Cepes",11
"world

Cepes",says,11
says,developing,10
involvement,farmers,9
farmers,"Peru

A",6
key,elements,7
project's,success,7
success,Throughout,9
Throughout,years,10
years,ago,4
people,China,6
provided,vital,6
vital,links,4
thrust,project;,7
project;,feel,7
feel,belongs,6
belongs,said,7
said,crackdown,7
Mr,Negroponte,9
Saldarriaga,technical,10
The,US,3
community,computer,5
training,computers,9
sessions,attended,8
attended,equal,7
equal,number,6
number,we're,5
men,women,2
women,perfect,6
perfect,showcase,8
showcase,enthusiasm,7
enthusiasm,We,10
We,display,7
excellent,response,8
response,mainly,7
mainly,young,5
young,people,5
people,China,6
But,dance,5
great,feedback,6
feedback,trained,8
trained,40,7
40,50year,5
50year,old,6
old,women,4
women,perfect,6
seeing,computer,8
computer,games,6
time,Chinese,5
lives,So,5
So,far,3
far,Huaral,4
Huaral,Valley,6
programme,Go,8
promoters,experience,9
experience,landscape,9
positive,planning,6
planning,spreading,5
spreading,model,8
model,help,4
